Ref,__,A,B,C,__,____,_____,____
QA453,____________?,_________,___________,_________,B,X,X,_5_ -__5.01
QA454,_____________ _?,__,___,___,B,X,X,_5_ -__5.01
QA455,_________________________________,1_,3_,5_,C,X,X,_5_ -__5.13
QA456,____________?,____________________,_____________,______________,A,X,,_3_ - __2.40
QA457,___________________, ____,__,____,A,X,X,STD-001 Cat 1
QA458,____________________________________?,___2_,___3A_,___5_,B,X,,_5_ -__5.12
QA459,______________________________?,_________,_______________,______,C,X,,_3_ - __2.42
QA460,________________________,____________________________,____________________________________________________________,__________,B,X,X,____
QA461,___________________________________________?,____,______,______,A,X,,_3_ - __2.23
QA462,__________________________,10__,20__,30__,C,X,,SHEQ-STD-005
QA463,________________?,___,____,________,B,X,X,_4_ - __3.07
QA464,_______________,________,_________,______,C,X,X,__
QA465,________________________?,_______________,______,______,B,X,X,Off-job
QA466,_____________,__________,___________,_______,A,X,X,Off-job
QA467,_ _ _ _ _ _ _ _ _ _ _ _ _ _ ,_ _ _ _ _ _ _ _ ,_ _ _ _ _ _ _ _ _ _ ,_ _ _ _ _ _ _ _ _ _ ,C,X,,SHEQ-ITN-006
QA468,_ ___ _ _ _ _ _ _ _ _ _ _ _ _ _ _, _ _ _ _ _ ,_ _ _ _ _ _ _ ,_ _ _ _ _ _ _ _ ,C,X,,SHEQ-ITN-006
QA469,_______________?,___________,1__,___,A,X,,_5_ -__5.52
QA470,__________________________,_______,_______,________,B,X,,Confined Space
QA471,_________________________,__, __,__,B,X,,Safety Rule
QA472,____________________,____,____,____,C,X,X,Off-job
QA473,________________________________________,__,__,__,B,X,,_3_ - __2.1
QA474,_________________?,__,_______,______,B,X,X,_4_ - __3.07
QA475,______________________?,1_,2_,3_,B,X,X,_5_ -__5.51
QA476,___________________________________________?,______,__________,______,C,X,,_3_ - __2.23
QA477,_______________________?,__________________,__________,____________,A,X,,_3_ - __2.15
QA478,_____________________50 _________________________?,____,_______,________,C,X,,_3_ - __2.22
QA479,__________________,_________,_________,_________,B,X,X,__
QA480,_________(BBSO)__________,__________________,____________________,____________,A,X,X,________
QA481,_________(BBSO)__________,_____________,__________________,______,B,X,X,________
QA482,___________________________________,______________,_______________,______________,B,X,X,Off-job
QA483,_______________________?,___,____,___,B,X,,_3_ - __2.42
QA484,___________________?,1____,2 ____,3____,B,X,,_3_ - __2.42
QA485,___________________?,____,________,_____,B,X,,_3_ - __2.14
QA486,_______(PWRA)_______________,_________,_______,______,C,X,,_______
QA487,_______(PWRA)______________,______________,___________,______________,C,X,,_______
QA488,_______(PWRA)______________,______________,_________________,_____________,B,X,,_______
QA489,_______(PWRA)______________,___________,______________,_____________,B,X,,_______
QA490,_______(PWRA)______________,______________,_________,______________,A,X,,_______
QA491,_______(PWRA)______________,______________,_____________,______________,B,X,,_______
QA492,________________,JSA,PWRA,BBSO,B,X,,_______
QA493,____________________?,____,____,_________,C,X,X,_2_  - __1.13
QA494,______(JSA)______,_________,__________________________,_________________,B,X,X,__
QA495,_______________,PWRA,JSA,BBSO,B,X,X,__
QA496,___________________________________?,____,____,_________________,C,X,,_3_ - __2.14
QA497,_____________?,______ 450 _ 900 __,______ 900 _ 1150 __,______ 1150 _ 1550 __,B,X,,_3_ - __2.14
QA498,_________________________,__,__,__,A,X,X,__
QA499,__________________?,______,____,____,A,X,,_3_ - __2.30
QA500,_______(__)________________________________,2_,3_,5_,C,X,,_5_ -__5.32
QA501,____( CP-E-01)___________,___/_________________________, ___/________,___/__________(_____),A,X,,Safety Rule
QA502,____(__ General Duties)______________,_____,_____,_____,A,X,,Safety Rule
QA503,________________ :,____________,______________________,____________________________________________,C,X,,Safety Rule
QA504,"_______________________ : - (A) ________/______________(B) _________________________(C) __________________(D) __________________________",(A)_(B)_(C) _ (D),(A)_(B) _ (C),(A) _ (B),B,X,,Safety Rule
QA505,____(____)(__)_______?, ______,______,______,C,X,,____
QA506,_______________________?,10_20_,20_50_,30 _99_,C,X,,_5_ -__5.16
QA507,_______________________________?,12_,24_,36_,B,X,,_5_ -__5.15
QA508,____________________? _______:-,______________________,____________________,______________________,A,X,,_3_ - __2.40
QA509,_____________ :-,________________,______________,_______________,B,X,X,_5_ -__5.52
QA510,______________,__,__,__,A,X,X,__
QA511,__________________________?,__________,_____________,___________,B,X,X,_3_ - __2.30
QA512,________ _________?,____,____, ____,B,X,X,_4_ - __3.06
QA513,_____________________________?,________________ _ ____ (____,________________ (___) _ ____,________________ _____ (___) _ ____,B,X,,STD-001 Cat 2
QA514,________________________?,3 _,5 _,8 _,B,X,,_3_ - __2.16
QA515,__________________,____,____,______,C,X,X,__
QA516,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ __ ,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,_ _ _ _ _ _ _ _ _ ,C,X,,SHEQ-ITN-006
QA517,______________,_________,______,_______,C,X,X,___
QA518,______________,_______,________,_________,B,X,X,__
QA519,_____________________,________,___,_______,B,X,X,__
QA520,____________________________,____,____,____,C,X,X,_4_ - __3.07
QA521,___________________________85_______________,_____,_____ 8 _______,_____,B,X,,_3_ - __2.41
QA522,_____________________?,____,_______,___,B,X,,_3_ - __2.1
QA523,___________________?,______________,______________________,______________,B,X,,_3_ - __2.40
QA524,________________?,_____,_____,______________,A,X,,_3_ - __2.50
QA525,___________________________?,"""____""_""____'",“______“_____,"""____""_""____'",B,X,,_4_ - __3.05
QA526,___________,______,__________,__________,C,X,X,Health
QA527,____________________________?,_____,_____,_____,B,X,,_3_ - __2.23
QA528,_________________________________?,______,__________,__,B,X,X,_3_ - __2.50
QA529,_____________________________,__,__,__,A,X,X,_5_ -__5.11
QA530,_______________?,____,________________,____,B,X,,_3_ - __2.17
QA531,______________________________?,____,____,__,B,X,,_4_ - __3.05
QA532,______________?,____,____, ___,C,X,X,_4_ -__3.09
QA533,_______________?,__,_3 _,_5_,B,X,X,_5_ -__5.02
QA534,__________________?,_______,___________,______,C,X,X,_3_ - __2.31
QA535,___________________?,_____,____,____,C,X,,_3_ - __2.40
QA536,____________________________________,_______,_______,_____,C,X,X,_5_ -__4.12
QA537,_____________________?,_1__,_3__,_12 __,C,X,,_3_ - __2.14
QA538,_____________________________,__,___,__,A,X,X,_2_ - __1.11
QA539,_____________________________,_____,______________,__________,B,X,X,_4_ - __3.04
QA540,_____________________________________?,1 _,2 _,3 _,C,X,X,_3_ - __2.16
QA541,_____________?,__________,___,_______,A,X,X,_4_ - __3.01
QA542,__________________?,100 __,200 __,300 __,B,X,,_3_ - __2.14
QA543,____________________________?,1__,2__,3 __,C,X,X,STD-001 Cat 2
QA544,_______________________?,____,____,________________________________,C,X,X,_4_ - __3.07
QA545,_______________?,__,__,__,B,X,,_2_  - __1.25
QA546,________________________________________________?,___,___,__,A,X,,_3_ - __2.15
QA547,_______________________?,__,__,__,B,X,,_3_ - __2.16
QA548,________________________ ________?,3 __,6 __,12__,B,X,,_3_ - __2.21
QA549,_________________________________________________?,3__,6 __,12__,C,X,X,_3_ - __2.21
QA550,_______________________,_________________,___________,_______________,A,X,X,____
QA551,________________________________________________________________,20 _,50_,100_,A,X,,_5_ -__5.12
QA552,______________________________________100 _______________________?,_______,______,______,B,X,X,_5_ -__5.11
QA553,__________________________________________?,7 _,14 _,21 _,A,X,,_2_ - __1.11
QA554,___________________________?,___________________,___________________,_________,B,X,,_2_ - __1.11
QA555,____________________________________,_____,_____,_________________,C,X,X,____
QA556,__________________?,________,______,______,B,X,X,_3_ - __2.18
QA557,__________________?,______________________,__________________,____________________________,B,X,,_4_ - __3.05
QA558,_______________________?,__,_________,______,B,X,,_2_- __1.21
QA559,___________?,_______________,_______________,_______,A,X,,_3_ - __2.1
QA560,__________?,____,____________,_________,B,X,,_3_ - __2.30
QA561,____________________________?,__________,____,"__""____""_______",C,X,X,_3_ - __2.14
QA562,______________________,10__,16__,22__,B,X,X,MHO
QA563,__________________?,___________,______,_______________,C,X,,_3_ - __2.17
QA564,____________________________?,_____,_________,_____,B,X,,_3_ - __2.17
QA565,_____________,37,38,39,B,X,X,___
QA566,__________________________,________,_________,______,C,X,,____
QA567,_________________________,__________ ________,___________,_____________,A,X,X,__
QA568,___________…,____,______,_______,C,X,X,__
QA569,_________________,_______________________,__________________, ____,C,X,,Safety Rule
QA570,_______________________________________________,____,__,______,C,X,,_4_ -__3.09
QA571,________________?,___,___,_____,B,X,,_2_- __1.21
QA572,_____________________________________?,_______,_______,_____,A,X,X,___
QA573,_________,____,________,______,C,X,X,Off-job
QA574,___________________________________________,_____,_____,_____,B,X,X,_5_ -__4.11
QA575,_______________________________?,_____,_______,______,C,X,X,__
QA576,___________________?,____,____,____,A,X,X,_2_  - __1.22
QA577,_____________, __,___,___,C,X,X,____
QA578,_______(__)____________________________________?,________,______,_________________,C,X,,_3_ - __2.42
QA579,_______________________________:,___________,__________,____,C,X,,____
QA580,__________________________________________________, ___,_______,______,A,X,,____
QA581,____________________________________________,___$27,___$100,___$125,C,X,,____
QA582,__________________________________50%____________________,________,______,___,C,X,,____
QA583,_________________________________50%________________________,________,______,___,B,X,,____
QA584,_____________________________________________________,________,______,___,A,X,,____
QA585,________________________________________________,___$27,___$100,___$125,A,X,,____
QA586,______________________________________________,___$27,___$100,___$125,B,X,,____
QA587,_________(____)________________,________,__________,______,C,X,,____
QA588,______________________?,_________,_____________,______________,C,X,X,____________
QA589,________________________________________,_________,_____,______,A,X,,____________
QA590,_________________________________________/_____________?,____________________,_____________________,____________________,A,X,X,_4_ - __3.04
QA591,_________(____)_____________,____________________,_________________,______,B,X,,__________
QA592,_________(____)__________________,_______,______________,______,A,X,,__________
QA593,_________(____)________________,6__,12__,24__,B,X,,__________
QA594,_________(_________)___________________________________,1_,2_,3_,B,X,,__________
QA595,_________(_________)__________________,____________,_________,______,A,X,,__________
QA596,_________(_________)______________________,___,______,__,B,X,,__________
QA597,_________(_________)_______________________1__,__,__,__,A,X,,__________
QA598,______________________________________,___________,________,_________,C,X,,__________
QA599,____________________________________,450__,900__,1150__,B,X,,__________
QA600,__________________________________________,______________,________,___________,C,X,,__________
QA601,______EN3_________________,__,__,__,A,X,X,STD-001 Cat 3
QA602,______EN3_______________,__,__,__,C,X,X,STD-001 Cat 3
QA603,______EN3_______________,__,__,___,B,X,X,STD-001 Cat 3
QA604,______EN3_______________,__,___,__,B,X,X,STD-001 Cat 3
QA605,_____________________________, ____,______,____,C,X,,STD-001 Cat 2
QA606,___________________5__50________________,1_,5_,10_,A,X,,__
QA607,_____________________________?,____3_,______,____7_,B,X,,_3_ - __2.17
QA608,__________________________________________?,_____,___,___,B,X,X,_3_ - __2.41
QA609,___________________________?,1_,3_,5_,C,X,X,_4_ - __3.04
QA610,____________________________,_________,________________,____,B,X,,_3_ - __2.16
QA611,______________________________?,_____________________,____________________________,______,C,X,X,_5_ -__5.10
QA612,_____________________________?,25% _ 40%,40% _ 70%,70%_80%,B,X,X,__
QA613,___________________?,____,____,____,C,X,X,__
QA614,________________________________,________,_______,____________,B,X,,__
QA615,____________________________?,______,_____________,________,B,X,,_3_ - __2.14
QA616,__________________________________?,7_,14_,21_,B,X,,_3_ - __2.14
QA617,_______________________________________,__________,__________,______,C,X,,_3_ - __2.40
QA618,________________________________________?,________________,__________________________,____________,A,X,,_3_ - __2.40
QA619,____________________________________?,__________,________________,___________,B,X,,_3_ - __2.40
QA620,_______________________________,___________,___________,__________,B,X,X,_5_ -__4.12
QA621,___________________________,20__,30 __,60__,B,X,,_4_ - __3.04
QA622,______________________________________________?,100 _,130 _,150 _,B,X,,_3_ - __2.16
QA623,___________________?,______,___,______,A,X,,_3_ - __2.18
QA624,______________?,____,__________,__,A,X,X,_3_ - __2.40
QA625,_____________________?, _______________,___________________,__________________,B,X,,_3_ - __2.15
QA626,___________________________,____,____,____,A,X,,_3_ - __2.16
QA627,______________________________________?,___,___,_______,B,X,,_3_ - __2.16
QA628,______________________?,____,________,____,B,X,X,_5_ -__5.21
QA629,___________________________?,______________,______________,______________,A,X,,_3_ - __2.16
QA630,_________,____________,__________________,__________________,A,X,,STD-001 Cat 2
QA631,____________?,______,__________,______,C,X,X,__
QA632,____________?,____,________,_____,A,X,X,____
QA633,________________________________________,70 __(A)___,80 __(A)___,90 __(A)___,C,X,,_3_ - __2.41
QA634,___________________?,____________,________,______,A,X,X,__
QA635,__________________,__,__,__,B,X,X,__
QA636,__________________?,600 mm, 800 mm,1000mm,A,X,,STD-001 Cat 2
QA637,______________________,_____________,_______,____,A,X,X,Off-job
QA638,_____________?,________, ______,_____(__)__,A,X,,____
QA639,____________________________?,___,_____,____,C,X,,_3_ - __2.17
QA640,________________,__,__,__,C,X,X,_2_  - __1.25
QA641,______________________,_______,______________,________,B,X,X,__
QA642,_________________________,___,__,__,C,X,X,_4_ - __3.06
QA643,____________________?,__,____,________,B,X,X,_4_ - __3.06
QA644,__________________________________?,___,_____,_____,B,X,,_3_ - __2.17
QA645,_____________________?,_______,______,_____,A,X,,_3_ - __2.1
QA646,__________________,________________,_________________,______,C,X,X,__
QA647,________?,"____, ________","_____, _______",_______________,B,X,X,STD_001 Cat 3
QA648,_________________,________________________________________,___________,___________________,A,X,X,Off-job
QA649,__________________,_____________,__________________,______,A,X,X,__
QA650,__________,_________,_______,________,C,X,X,__
QA651,__________________?,______,_______________________,________,B,X,,_3_ - __2.17
QA652,_____________________,__________,____________,_______________,C,X,,_3_ - __2.40
QA653,_____________________________________?,_____,_____,____,B,X,X,_5_ -__5.15
QA654,____________________________________?,_____,________,____,C,X,X,_4_ - __3.01
QA655,_____________(PWRA)_,______________,_________,_______,A,X,,_______
QA656,______________________,____,____,____,C,X,,STD-001 Cat 2
QA657,________________________?,__________,_______,__________,C,X,,_3_ - __2.17
QA658,_________________________?,______,_________,______,B,X,,_3_ - __2.17
QA659,___________________________?,________,____,____,C,X,,_3_ - __2.17
QA660,__________________________?,______,______,_____,B,X,,_3_ - __2.17
QA661,__________________?,________,_________________,_______________,B,X,,_3_ - __2.17
QA662,________________________?,_____,____________,___________,A,X,,_4_ - __3.05
QA663,____________________?,_______________________________,______________________________________________,______,C,X,X,_5_ -__5.56
QA664,______________________________?,_____,____,____,B,X,,_3_ - __2.1
QA665,____________?,__,____,__,A,X,,Hot work
QA666,____________,__,___,__,B,X,X,__
QA667,______________________________,___, ___,__,B,X,X,_4_ -__3.08
QA668,_____________________________________________?,________,________,________,C,X,,_3_ - __2.22
QA669,_____________,_______,________,____,B,X,,SHEQ-STD-005
QA670,___________________,____,___(___),________,B,X,,SHEQ-STD-005
QA671,_____________,1__,1__,1_,B,X,,SHEQ-STD-005
QA672,___________,____,___,____,C,X,X,__
QA673,_____________?,_______,_______,________________,C,X,,SHEQ-STD-005
QA674,___________________?,____,____,______,A,X,,_3_ - __2.17
QA675,_______________?,EWMS,EDMS,MSDS,C,X,X,_3_ - __2.17
QA676,_______,________,_________,______,C,X,X,__
QA677,_____________?,__________,____________,______,C,X,X,_4_ - __3.07
QA678,__________________,_______,______,______,C,X,,____
QA679,________________,70__,80__,90__,A,X,X,__
QA680,______________,__,__,______,C,X,X,____
QA681,__4R______________________,"__,__,__,__","__,__,__,__",_____________,C,X,X,__
QA682,_________________________4R___________5R______R_____,__,__,__,B,X,X,____
QA683,_____________?,_______,_______,_______,A,X,X,__
QA684,________________________________?,450 __,600 __,900 __,C,X,,_3_ - __2.14
QA685,_ _ _  “ _ _ _ _ ” (UEL)?,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,B,X,,SHEQ-ITN-006
QA686,_ _ _ “ _ _ _ _ ” (LEL)?,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,B,X,,SHEQ-ITN-006
QA687,_ _ _ _ _ _ _ _ _ _ (CSEC),_ _ (_ _ ) _ _ _ _ _ _ _ _ ,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,(c) _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,B,X,,SHEQ-ITN-006
QA688,________________,____,________,_______,B,X,,SHEQ-STD-005
QA689,____________________________,________,____,____,B,X,X,___
QA690,______________ (__),______,______,______,C,X,X,___
QA691,_______________________?,___________________,______________,_____________,B,X,,_3_ - __2.17
QA692,_______________________?,____,____,____,C,X,,_3_ - __2.40
QA693,______________?,____,____,______,C,X,,_3_ - __2.40
QA694,__________,______,______,______,B,X,X,__
QA695,_____________________?,_____________________,______________________,___________________,A,X,X,_5_ -__5.11
QA696,__________________________?,____________________,____________,________________,A,X,X,_5_ -__5.11
QA697,______________________,________,__,___,A,X,X,__
QA698,________________?,_____,____,____,A,X,,_3_ - __2.1
QA699,_____________________________?,_________,____,_____,A,X,,_3_ - __2.40
QA700,____________?,____,______,___________,C,X,X,_3_ - __2.41
QA701,___________________________?,______,___,_______,C,X,,_3_ - __2.40
QA702,_________________________,________________________ ,_________________ ,__________ ,B,X,,SHEQ-ITN-006
QA703,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,_ _ _ _ _ _ _ _ __,_ _ _ _ _ ,_ _ _ _ _ _ _ _ _  _ _ _ _ _ _ _ _ _ _ ,C,X,,SHEQ-ITN-006
QA704,_________________________,10 __,12 __,15 __,C,X,,SHEQ-ITN-006
QA705,_ _ _ _ _ _ _ _ _ _ _ _ ,_ _ _ _ _ _ ,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,_ _ _ _ _ _ ,B,X,,SHEQ-ITN-006
QA706,__________________________ ,70%,80%,90%,B,X,,SHEQ-ITN-006
QA707,__________100__________________________?,11_,21_,31_,B,X,X,__
QA708,__________________________,_________________________,_____________________,________________________,A,X,,Safety Rule
QA709,________________________,_________________________,_____________________,_______________________,B,X,,Safety Rule
QA710,_____________100__________________________?,__,___,________,A,X,X,__
QA711,___________________________________?,3 _,6 _,9 _,B,X,,_3_ - __2.14
QA712,________________________ …,___________,________,_________________________,C,X,X,___
QA713,___________(BBSO)________________________________,____________,_____________,____________,B,X,X,________
QA714,___________(BBSO)________________________,__________________,______________________,______,A,X,X,________
QA715,___________(BBSO)_________________________,_______________,___________,__________________,C,X,X,________
QA716,__________100____________________?,_____,_____,_______,C,X,X,__
QA717,_________________________________________________,____,____,____,C,X,,_3_ - __2.1
QA718,___________________________________?,________,_______“_____,__________,B,X,X,_4_ - __3.02
QA719,"_____/______________, ______, ______",__________,_______,______,c,X,X,Others
QA720,______________________________________________________________,"_","__",__,C,X,X,__
QA721,_______________________________,4 ~7,8 ~10,10+,B,X,X,____
QA722,_________________________?,____________,_______________,______________,B,X,,_3_ - __2.17
QA723,___________________________,______‘____’,______‘____’______,______‘____’______,B,X,,Safety Rule
QA724,________________…,_____,____,____,B,X,X,__
QA725,___________________, ________,______________________,_________________,B,X,,Safety Rule
QA726,________________,______,______,_____,C,X,,____
QA727,_____________________,_________ ____,_______________ ____,________________________,B,X,,Safety Rule
QA728,____________________,__,__,__,C,X,X,__
QA729,________________ ____________?,__,__,__,A,X,X,__
QA730,__________________________?,__,__,____,A,X,X,_3_ - __2.50
QA731,______________________ ____ ___________________,11 _,15_,18_,B,X,X,__
QA732,________…,________,________,____,B,X,X,__
QA733,____________________?,______________,______________,______________,C,X,X,STD-001 Cat 3
QA734,______________________________?,3__,6 __,12__,B,X,X,_3_ - __2.50
QA735,________________________________?,1 ___,1 __,3 __,C,X,,_3_ - __2.40
QA736,____________________________________,1 __,3 __,6 __,A,X,,_3_ - __2.40
QA737,____________________?,_________,_________,_______,B,X,,_3_ - __2.40
QA738,____________________,__,_____,__,B,X,X,__
QA739,_______________________________?,____,___,___,B,X,,_3_ - __2.16
QA740,_________________?,_____,_____,_____,A,X,X,__
QA741,_____________,HAQI,AQHI,API,B,X,X,__
QA742,__________________________________________________,____,____,____,C,X,X,____
QA743,____________________,__,__,__,C,X,X,__
QA744,_______________,3,4,5,C,X,X,___
QA745,____________________,___________,______,________,B,X,X,____
QA746,________7________,_,_,_,C,X,X,__
QA747,_______________________________,_____,_____,_____,B,X,,SHEQ-STD-005
QA748,________________________?,_____,___,_______,C,X,,____
QA749,___________________________________________?,___________,___________,___________,B,X,,_3_ - __2.40
QA750,_______________________,______,____,________,A,X,X,__
QA751,______________,______,____,____,B,X,X,____
QA752,____________________…,____,__________,__,B,X,X,__
QA753,_______________________________________?,1 _, 2 _,4 _,C,X,,_3_ - __2.16
QA754,_______________?,______,______,____,A,X,X,_5_ -__4.23
QA755,____________________________________________?,_2_1_,_3_1_,_5_1_,C,X,X,_4_ - __3.01
QA756,___________________________________________,___________,____,____,A,X,X,_4_ -__3.09
QA757,______________________________?, ____,____,___,A,X,X,_4_ -__3.09
QA758,__________________________________,_________,____________,_______________,C,X,,_4_ -__3.09
QA759,____________________________________________,____,____,____,A,X,X,_4_ -__3.09
QA760,___________________________________,______,______,______,A,X,X,_4_ -__3.09
QA761,___________________________,______,_______,__________,B,X,X,_4_ -__3.09
QA762,___________________,_____________,____________,____________,A,X,,_4_ -__3.09
QA763,__________________________,____,____,______,B,X,X,_4_ -__3.09
QA764,"_______, _________?",____,___,____,C,X,,STD-001 Cat 2
QA765,___________________?,____,______,________,B,X,X,_4_ - __3.06
QA766,____________ ?,___________,_____,_________,A,X,X,__
QA767,______________,__,__,__,C,X,X,____
QA768,_____________________________,0.5_,1_,1.5_,A,X,,STD-001 Cat 1
QA769,________?,____,____,____,A,X,,_3_ - __2.1
QA770,______________________________________________________?,___________________________________,________,___________,A,X,,Safety Rule
QA771,_______________________________________________________?,________,_____________________________,_____,B,X,,Safety Rule
QA772,_______________________,______________________,____________,____,C,X,,SHEQ-STD-005
QA773,______________________,_______,_______,_______,A,X,X,____
QA774,"____________________________, _?",________,____,_______,B,X,,Lifting
QA775,_______________________ :,_________________,_________________,____________________________,C,X,,Safety Rule
QA776,______________________,_,__,__,C,X,X,Health
QA777,_______________________________________,________,______________,__________,B,X,,_3_ - __2.17
QA778,________________________?,__________,___________,________,C,X,,_2_-  __1.24
QA779,_______________?,_____________________,_____,______,A,X,,_4_ - __3.05
QA780,____________,__,____,__,B,X,X,____
QA781,____________________?,_______,_____,____,A,X,,_3_ - __2.40
QA782,______________________________ …,____________,_____,_______,A,X,X,___
QA783,________(BBSO)______________,_____________,______________(PWRA)______,_______________________________,A,X,X,________
QA784,________(BBSO)_______________,_____________________,_______________________,______________________,A,X,X,________
QA785,________(BBSO)_________, __________________20-30__,_______________________,___________________________,C,X,X,________
QA786,________(BBSO)_______,___________,________,_______________,B,X,X,________
QA787,________(BBSO)______________,_____,______,______,A,X,X,________
QA788,________(BBSO)______________,___________,___________,___________,B,X,X,________
QA789,_________________,JSA,BBSO,PWRA,B,X,X,________
QA790,_____________…,______ 10 _____,_________,____,B,X,X,__
QA791,_________________,__,__,__,C,X,X,__
QA792,_______________,__,__,__,A,X,X,__
QA793,___________________?,_______,______,___________,C,X,X,_3_ - __2.50
QA794,_______________,__,__,__,C,X,X,__
QA795,__________________,__,__,__,B,X,X,__
QA796,_________________?,______,_______,_______,B,X,X,_3_ - __2.50
QA797,_____________________________,______,___________,______,B,X,,_2_- __1.22
QA798,_____________________________?,___________,___________,___________,B,X,,_2_  - __1.24
QA799,_____________________?,_______,_______,________,B,X,,_2_  - __1.24
QA800,___________________________?,_____,_____,______,A,X,X,_2_  - __1.25
QA801,________________________?,________,______,________,B,X,X,STD-001
QA802,_______________?,___/______,___/_________,_______,A,X,,_5_ -__5.02
QA803,_______________________?,__________,_____________,__________,B,X,X,_3_ - __2.31
QA804,_________________(PWRA)_,_______,______,_______________________,C,X,,_______
QA805,__________________,______,_________,______,C,X,X,__
QA806,________________________,___________________,________________,________________,A,X,X,____
QA807,______…,_____,____________________,_____,B,X,X,__
QA808,_____________________?,______________________,____________________,_____________________,A,X,,_3_ - __2.14
QA809,__________________________?,__________,___________,__________,B,X,,_3_ - __2.17
QA810,____________________________?,______________,____,____________________________,C,X,X,_3_ - __2.17
QA811,___________________?,______,___________,___,B,X,X,_3_ - __2.18
QA812,____________?,20___,40___,80___,B,X,X, _2_ -__1.12
QA813,_____________________________?,___,___,___,B,X,,_3_ - __2.15
QA814,_____________________?,_______,______, ______,B,X,,Lifting
QA815,______________,______,_______,________,A,X,,Lifting
QA816,________________________?,1 _,2 _,3 _,B,X,,_3_ - __2.15
QA817,____________________?,________,_______,______,B,X,,_3_ - __2.15
QA818,_______________,0.001,0.003,0.005,C,X,X,___
QA819,__________?,50 _____,100  _____,110 _____,A,X,,_3_ - __2.22
QA820,____________…,______,________,______,A,X,X,__
QA821,________________,___________,________,___________,B,X,X,Health
QA822,___________?,___________________,___(_______)___,______,C,X,X,
QA823,___________________?,_______________,________________,_______________,B,X,X,_2_ - __1.26
QA824,______________________?,______________,________________________,_________________,B,X,X,_5_ -__4.23
QA825,_________________?,_____,__________,______,B,X,X,_2_ - __1.13
QA826,_________________?,______,___________,___,A,X,X,_5_ -__5.52
QA827,__________________,________,_________,_______________,A,X,X,STD-001 Cat 5
QA828,___________?,______,____________,___________,B,X,,_5_ -__5.14
QA829,__________________?,_______,_______,_____,A,X,,_3_ - __2.18
QA830,____________________?,____________,____________________,____________,A,X,X,_5_ -__5.02
QA831,____________________,__,__,__,C,X,,Hot work
QA832,_________________?,____________/___,________,______,C,X,X,_5_ -__5.02
QA833,__________(BBSO)_____________,___________,__________________,________________,B,X,X,________
QA834,__________(BBSO)__________________,_______________,________________,______,B,X,X,________
QA835,__________________?,_________,_________,_________,A,X,X,_3_ - __2.31
QA836,________________?,___,____,_______,B,X,,_3_ - __2.40
QA837,___________________________________________?,______,______,______,A,X,X,_3_ - __2.31
QA838,__________________________?,_____,___________,_____________,B,X,X,_3_ - __2.31
QA839,_______________?,____,________,_______,C,X,,_2_  - __1.24
QA840,_______________________________________,_____(_____)___,_____(________)___,______,C,X,,_3_ - __2.41
QA841,_____________,____,________,______,B,X,X,____
QA842,_____ (__) _____,__________,____,____,A,X,X,__
QA843,________________________,_____,______,______,C,X,X,_5_ -__4.12
QA844,_______________?,________,___,_____,C,X,X,__
QA845,____________?,__,____,____,C,X,X,__
QA846,______________________________________,________,________,________,A,X,X,_4_ -__3.09
QA847,____________ ,______80%__ ,________,______,B,X,,SHEQ-ITN-006
QA848,___________…,_10____________,_ 5 _______,_ 10 _____________,A,X,X,__
QA849,__________________,____________________,_________________,______,C,X,X,___
QA850,____________,____,____,__,C,X,X,__
QA851,__________________,__,__,_____,A,X,X,___
QA852,________________,______,______,_______,B,X,X,Off-job
QA853,___________________________, CFC___, __,__,B,X,X,____
QA854,____________,______,_______,____,C,X,,SHEQ-STD-005
QA855,___14 __________________________?,____________________,________,____,A,X,,_3_ - __2.14
QA856,__________________________,_100________________,_1000________________,_2000________________,B,X,X,____
QA857,________________________________?,_______,_________, _______,A,X,,_3_ - __2.23
QA858,____________________,__,__,__,B,X,X,_2_  - __1.25
QA859,_________________,____,_____,______,A,X,,__(__)__
QA860,______________________________,_____________,_____________,_____________,C,X,,__(__)__
QA861,________________________________?,___,____,___,B,X,,_3_ - __2.23
QA862,______________________?,_____,___________,_____,B,X,,_3_ - __2.23
QA863,____________________________________________?,______,____,________,C,X,,_3_ - __2.23
